第9屆立法委員選舉（不分區）,2016年1月16日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,
,,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,,,
,,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,有效票,無效票,選舉人數
金城鎮,東門里,94,49,1,1,7,13,8,19,446,6,21,0,20,0,6,116,1,4,812,22,2296
金城鎮,東門里,96,55,0,2,16,14,2,31,403,13,14,0,30,0,0,134,1,3,814,14,2387
金城鎮,南門里,52,46,1,0,12,4,1,10,337,7,15,1,22,1,4,63,1,7,584,16,1745
金城鎮,南門里,68,45,0,0,7,13,2,7,251,7,14,0,12,2,5,74,3,0,510,15,1557
金城鎮,南門里,65,47,1,1,4,11,5,15,392,9,14,1,19,0,2,63,3,0,652,21,1793
金城鎮,西門里,80,35,1,0,3,12,10,19,344,7,31,0,27,1,4,85,4,2,665,14,1910
金城鎮,西門里,56,35,3,0,8,12,4,14,327,2,13,1,28,1,0,83,2,5,594,28,1757
金城鎮,西門里,38,24,0,1,10,10,3,12,400,5,19,0,23,0,1,91,5,4,646,9,1850
金城鎮,西門里,94,47,3,0,10,6,6,17,354,3,25,0,36,0,4,83,6,7,701,17,1963
金城鎮,西門里,54,38,1,0,5,15,8,16,380,7,13,1,25,1,1,93,1,4,663,7,1779
金城鎮,北門里,80,46,1,0,6,9,20,30,363,3,12,0,18,0,6,90,3,4,691,19,1947
金城鎮,北門里,73,47,0,1,3,5,7,22,346,5,15,1,28,0,2,82,4,8,649,15,2143
金城鎮,賢庵里,108,47,1,0,10,13,4,8,386,11,24,2,18,1,3,73,2,7,718,15,2307
金城鎮,賢庵里,69,31,1,0,9,3,9,11,355,4,15,1,23,1,2,48,2,5,589,23,1848
金城鎮,金水里,59,48,5,0,6,11,7,17,317,9,8,1,26,0,3,72,4,0,593,34,1902
金城鎮,古城里,57,49,1,1,16,12,7,17,367,7,5,0,21,2,2,55,5,3,627,25,2113
金城鎮,古城里,45,28,1,0,6,9,0,13,237,2,10,0,9,0,0,26,4,3,393,17,1250
金城鎮,珠沙里,34,14,0,2,3,5,3,5,226,3,10,0,11,0,3,46,0,5,370,8,1443
金城鎮,珠沙里,60,31,0,0,1,6,5,4,205,1,8,0,11,0,3,55,0,2,392,15,1224
金寧鄉,古寧村,43,19,0,1,6,5,4,4,256,2,6,0,16,2,4,65,5,6,444,22,1624
金寧鄉,古寧村,35,30,2,0,5,6,4,4,226,1,9,1,28,0,0,39,0,0,390,10,1404
金寧鄉,安美村,45,38,0,2,3,8,12,5,274,3,15,0,14,0,3,39,1,4,466,28,1543
金寧鄉,安美村,36,22,0,3,2,6,0,7,172,1,5,2,5,0,0,17,2,1,281,21,960
金寧鄉,安美村,54,34,2,2,15,11,6,6,322,5,10,1,9,1,2,44,4,5,533,26,1514
金寧鄉,湖埔村,50,47,1,2,8,18,3,5,445,9,14,1,25,2,0,34,3,3,670,16,1974
金寧鄉,湖埔村,77,45,2,2,13,8,6,13,309,6,20,1,29,1,0,84,2,5,623,16,1713
金寧鄉,湖埔村,54,31,3,1,9,3,4,16,202,7,14,1,16,0,1,48,0,1,411,7,1356
金寧鄉,榜林村,66,31,0,0,6,8,1,10,274,4,15,1,17,1,1,29,1,3,468,15,1507
金寧鄉,榜林村,51,20,1,1,5,3,2,9,283,12,8,2,17,0,0,44,0,0,458,14,1691
金寧鄉,榜林村,58,23,1,0,9,11,4,11,217,12,23,1,10,2,12,43,3,6,446,15,1363
金寧鄉,盤山村,62,24,1,1,15,11,9,6,221,2,8,1,13,0,3,59,1,1,438,12,1469
金寧鄉,盤山村,62,22,0,2,8,5,1,12,242,4,12,1,14,1,0,54,5,4,449,23,1435
金寧鄉,盤山村,327,76,2,9,5,16,29,25,238,24,149,1,137,4,16,46,4,36,1144,15,1807
金寧鄉,盤山村,58,26,2,0,12,9,2,5,208,5,11,0,15,0,2,45,0,0,400,9,1235
金寧鄉,后盤村,24,25,4,2,9,11,1,10,209,4,4,0,19,0,3,51,4,2,382,22,1367
金湖鎮,新市里,79,73,3,1,10,24,15,13,449,9,20,1,25,1,4,104,3,8,842,28,2272
金湖鎮,新市里,76,72,0,0,12,14,3,15,433,10,26,0,14,1,6,75,2,4,763,22,2031
金湖鎮,山外里,64,46,2,1,7,11,8,7,307,3,19,0,18,1,0,60,4,6,564,30,1704
金湖鎮,山外里,53,37,2,0,11,8,3,16,302,6,16,0,7,0,2,53,1,1,518,13,1427
金湖鎮,溪湖里,33,44,0,2,3,7,3,11,261,5,7,3,9,1,5,20,0,1,415,23,1387
金湖鎮,蓮庵里,44,16,1,1,3,10,4,2,312,1,8,1,5,2,2,36,2,2,452,12,1512
金湖鎮,料羅里,58,32,3,0,17,3,2,4,354,4,11,1,7,0,2,66,4,1,569,9,1710
金湖鎮,新湖里,135,66,2,1,13,14,11,9,402,12,15,0,11,2,5,88,0,5,791,18,2439
金湖鎮,新湖里,84,63,0,0,9,4,7,13,350,8,23,0,13,1,5,69,3,4,656,10,1974
金湖鎮,新湖里,101,55,1,2,15,17,12,15,395,8,20,3,18,1,6,90,1,3,763,17,2182
金湖鎮,正義里,87,49,4,2,15,16,10,15,430,6,19,0,16,0,2,77,0,8,756,27,2312
金湖鎮,瓊林里,40,46,1,0,6,4,2,11,279,3,3,4,8,0,3,59,2,3,474,15,1454
金湖鎮,瓊林里,43,26,2,0,15,9,6,11,297,3,10,1,3,1,2,54,2,4,489,17,1423
金沙鎮,汶沙里,66,30,3,1,7,6,7,15,320,16,20,2,22,1,6,58,4,5,589,27,1904
金沙鎮,汶沙里,41,35,3,0,4,5,2,10,289,9,14,0,11,1,6,61,4,4,499,18,1442
金沙鎮,汶沙里,38,28,4,0,6,11,5,12,295,13,15,1,16,1,2,38,2,4,491,16,1510
金沙鎮,何斗里,39,38,2,1,8,13,5,15,338,10,10,1,15,1,1,62,2,5,566,32,1819
金沙鎮,浦山里,28,32,0,1,2,7,1,9,189,2,10,0,8,0,3,62,0,0,354,23,1123
金沙鎮,浦山里,23,16,1,0,4,4,2,4,183,4,8,1,4,1,0,25,1,0,281,16,970
金沙鎮,西園里,30,31,0,1,4,7,3,9,255,4,12,0,7,0,0,45,1,1,410,17,1435
金沙鎮,官嶼里,35,46,1,0,7,8,1,9,387,17,7,1,8,0,5,45,2,1,580,27,2005
金沙鎮,三山里,47,47,2,1,5,6,9,11,341,1,17,0,8,1,0,41,0,2,539,13,1769
金沙鎮,大洋里,26,32,0,0,3,2,0,5,200,4,8,2,6,1,6,51,0,1,347,16,1066
金沙鎮,光前里,27,33,3,0,3,6,0,6,215,3,6,1,5,1,3,47,2,1,362,20,1089
金沙鎮,光前里,29,13,2,1,2,9,2,7,196,9,16,0,9,4,1,36,1,4,341,10,1004
烈嶼鄉,林湖村,32,36,1,0,1,7,3,8,254,0,7,0,8,0,2,108,0,4,471,21,1448
烈嶼鄉,林湖村,47,35,3,1,3,2,6,14,279,3,4,0,17,2,1,67,4,2,490,16,1737
烈嶼鄉,黃埔村,34,15,1,0,5,4,2,4,266,1,8,0,12,3,1,37,0,2,395,24,1439
烈嶼鄉,西口村,44,41,4,1,8,11,5,10,313,1,17,0,10,0,1,66,1,3,536,42,2240
烈嶼鄉,上林村,18,22,2,0,5,5,4,3,218,1,9,0,3,1,1,47,2,3,344,16,1296
烈嶼鄉,上岐村,54,46,3,0,8,9,3,21,446,5,12,1,27,0,3,138,2,8,786,28,2596
烏坵鄉,大坵村,5,3,0,0,1,3,0,0,32,0,2,0,1,0,0,1,0,0,48,2,242
烏坵鄉,小坵村,2,3,0,0,0,1,0,0,21,0,0,0,0,0,0,5,0,0,32,0,265
