,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,,,
16,,翁伸金,莊良時*,王文標,趙瑞英#,李成義*#,楊永立*#,林金量,許玉昭*!,石兆緡,陳天成,張光海*#,李和平,董東漢*,王水彰,謝宜璋*,楊紫玫,李沃士,王再生#,洪成發*,翁國得,洪允典*,蔡水游*,李正騰,陳水木*,賴育茜*!#,歐陽彥木#,李有忠,李昭明,洪肇基,陳溢富,洪振輝,翁明志,陳恩賜*#,林榮輝*,陳滄江,陳丕陽,許建中*#,陳膺天,許慧新,李九六,周水土,陳應龍,許勵宏,陳水賜*#,,,
,,中國國民黨,中國國民黨,無,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,新黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,無,無,新黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,新黨,新黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,新黨,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,無,新黨,無,有效票,無效票,選舉人數
金城鎮,東門里,5,55,1,12,53,27,4,19,9,38,40,2,53,15,15,6,13,14,28,19,46,37,14,88,17,45,10,1,1,1,0,45,26,82,41,26,47,0,44,0,16,2,12,124,1153,11,1475
金城鎮,西門里,4,159,4,19,90,66,11,34,31,72,106,5,67,29,27,12,76,40,42,47,91,81,8,163,36,98,28,7,11,5,3,53,102,128,93,30,87,7,56,3,21,5,20,94,2171,39,2745
金城鎮,南門里,10,84,5,29,85,23,4,20,16,93,120,0,46,5,9,4,30,21,28,23,67,47,3,115,41,53,11,1,1,3,1,46,61,84,55,19,92,2,53,4,15,4,11,67,1511,26,1851
金城鎮,北門里,5,79,2,11,46,29,11,16,19,66,18,1,22,9,8,10,22,19,19,34,44,31,4,61,35,50,63,6,4,1,3,38,27,51,37,18,54,2,18,1,21,1,17,26,1059,14,1326
金城鎮,古城里,2,29,3,3,39,46,4,24,1,20,25,3,303,5,9,2,11,13,12,7,11,23,2,47,26,10,9,0,2,2,0,4,73,15,8,2,33,0,20,10,10,0,1,22,891,17,1085
金城鎮,金水里,3,30,2,3,36,30,2,16,4,39,15,2,9,4,9,1,7,5,15,7,15,51,1,23,18,7,4,1,1,1,0,5,8,15,12,2,7,0,7,0,11,3,0,30,461,5,567
金城鎮,珠沙里,0,14,1,3,12,1,0,7,5,14,12,1,23,10,2,3,5,6,8,3,1,13,0,11,4,144,13,0,2,0,0,8,9,22,3,3,14,0,17,2,3,0,0,13,412,7,539
金城鎮,賢庵里,1,40,0,5,72,20,1,22,9,65,23,3,36,2,10,3,12,7,37,7,25,33,0,25,28,50,15,0,0,5,0,13,47,37,8,6,24,7,16,0,13,4,4,41,776,17,1001
金寧鄉,古寧村,2,46,0,7,185,39,1,8,1,13,12,6,11,1,2,2,90,8,16,6,3,8,63,21,15,9,54,4,0,0,0,8,8,22,12,0,25,0,12,0,11,1,2,40,774,14,1039
金寧鄉,安美村,2,142,2,16,20,100,3,14,4,45,9,2,21,2,7,6,11,3,16,18,22,51,5,36,127,16,9,5,2,0,0,10,25,85,25,0,35,1,13,0,30,3,3,60,1006,26,1261
金寧鄉,后盤村,3,42,0,3,19,14,1,7,0,17,6,0,1,13,2,1,8,5,7,4,4,20,6,8,10,7,0,3,1,0,1,2,11,8,10,1,26,2,8,0,2,0,26,9,318,11,414
金寧鄉,湖埔村,1,59,0,1,18,375,3,10,7,18,8,1,3,2,7,9,7,8,14,18,7,15,0,47,39,17,5,0,0,1,3,7,33,23,15,3,49,0,13,0,1,1,0,14,862,9,1006
金寧鄉,榜林村,2,56,3,5,32,24,2,117,3,42,22,2,17,3,16,3,9,14,9,10,9,29,3,40,13,14,5,1,3,0,1,5,18,60,51,4,177,2,127,0,12,1,1,25,992,31,1270
金寧鄉,盤山村,6,39,1,4,9,10,3,13,4,22,10,0,17,1,2,1,15,7,13,252,8,23,1,17,8,13,11,0,2,0,3,94,17,17,26,0,24,1,22,1,19,1,2,18,757,12,967
金湖鎮,新市里,39,108,4,25,133,31,2,37,5,21,40,10,62,14,135,23,18,21,32,36,33,58,2,44,39,34,18,4,0,12,1,27,69,56,39,4,37,16,19,1,55,9,3,36,1412,15,1646
金湖鎮,山外里,5,71,7,3,58,22,2,15,3,4,14,1,32,9,24,17,25,15,14,13,14,16,0,20,13,60,10,4,3,3,1,11,232,67,18,3,24,6,10,0,44,5,0,30,948,10,1140
金湖鎮,正義里,41,70,2,15,26,12,1,23,3,3,6,0,8,14,10,4,12,10,2,21,5,10,1,30,0,12,6,1,0,3,0,2,53,84,10,3,23,3,4,1,32,48,1,19,634,18,781
金湖鎮,料羅里,1,3,1,1,9,1,2,3,0,0,5,0,2,4,320,1,2,11,1,3,2,3,0,19,0,3,0,0,0,1,0,0,4,16,1,1,0,1,7,0,5,1,0,6,440,14,513
金湖鎮,瓊林里,4,48,2,1,11,17,1,18,3,22,12,1,14,5,14,2,12,8,0,5,28,447,0,20,2,16,4,3,0,1,0,2,18,16,6,1,18,7,2,0,27,12,1,8,839,19,1078
金湖鎮,新湖里,17,120,4,8,78,20,5,29,2,12,31,7,45,11,57,28,13,28,13,20,35,31,1,57,4,29,7,12,1,33,4,15,28,66,24,6,70,45,16,0,24,12,4,17,1089,24,1313
金湖鎮,溪湖里,4,29,4,1,41,1,0,12,2,5,8,0,9,7,79,3,5,12,5,3,4,7,1,39,7,33,3,5,0,3,0,3,5,11,3,2,10,0,5,0,11,9,1,15,407,10,501
金湖鎮,蓮庵里,7,30,0,3,21,3,1,9,0,1,9,0,8,1,90,1,4,21,8,2,10,9,1,18,4,14,2,0,2,1,1,4,6,24,2,0,4,6,4,0,34,4,1,13,383,7,499
金沙鎮,汶沙里,10,91,2,1,41,19,15,30,4,15,230,1,7,144,5,18,25,192,3,14,22,32,0,44,5,24,9,12,0,1,0,18,25,94,13,2,34,1,18,1,48,2,5,50,1327,30,1677
金沙鎮,三山里,10,18,0,2,38,4,1,23,2,8,17,0,0,39,14,4,18,35,0,2,4,14,0,14,3,13,13,31,0,7,0,7,14,11,9,4,13,6,3,0,16,0,1,15,433,10,602
金沙鎮,大洋里,2,18,0,14,7,0,3,6,1,6,24,1,19,25,10,4,1,9,3,5,5,9,0,15,0,15,0,0,0,0,0,3,3,33,5,0,25,0,5,1,7,1,0,7,292,3,385
金沙鎮,光前里,3,16,5,0,13,2,2,16,2,6,25,0,5,35,8,0,12,50,1,13,10,22,0,23,1,31,6,41,1,0,1,9,6,32,8,1,30,0,4,0,28,1,1,36,506,8,664
金沙鎮,何斗里,3,32,10,4,28,6,0,5,3,5,58,0,6,39,9,4,2,25,1,11,7,33,1,39,8,11,5,0,0,1,0,2,26,22,6,2,43,0,2,1,34,3,1,18,516,15,654
金沙鎮,西園里,5,33,2,8,10,1,0,14,0,1,35,3,3,28,1,5,14,37,4,0,12,14,0,19,1,5,3,0,1,0,0,1,17,26,3,2,18,7,7,0,11,5,4,7,367,7,485
金沙鎮,官嶼里,2,31,0,1,6,24,0,9,2,0,176,4,12,15,5,0,5,11,0,4,6,16,1,12,1,7,10,1,0,0,5,1,3,9,3,2,11,0,0,0,11,0,0,16,422,10,603
金沙鎮,浦山里,7,52,1,2,22,6,3,9,2,4,32,0,5,85,10,3,8,10,6,13,5,22,0,13,13,7,6,0,0,2,0,6,8,71,2,1,15,0,11,0,99,1,3,10,575,17,749
烈嶼鄉,上岐村,2,3,8,2,14,0,42,5,0,2,9,2,1,0,2,0,2,1,91,1,270,11,0,13,0,4,1,0,66,2,73,2,6,0,1,0,11,1,1,0,12,0,0,1,662,13,829
烈嶼鄉,上林村,1,9,0,0,6,3,119,1,0,3,1,0,0,0,2,0,0,1,49,0,70,2,0,6,1,4,0,0,5,0,15,1,0,1,1,0,1,0,0,0,4,0,0,1,307,9,402
烈嶼鄉,西口村,1,40,1,1,14,2,117,6,0,6,6,3,1,3,2,1,4,0,89,0,71,10,0,3,0,2,1,0,8,5,11,3,1,4,0,3,1,0,0,0,3,0,4,3,430,20,620
烈嶼鄉,林湖村,3,34,6,3,31,1,369,8,2,6,5,2,3,5,4,2,4,6,97,4,114,8,1,7,0,4,6,0,1,3,22,2,8,1,3,7,16,1,3,0,7,0,2,3,814,18,1011
烈嶼鄉,黃埔村,0,1,1,0,9,0,25,0,0,0,4,0,0,0,1,0,2,0,251,2,17,0,0,0,1,0,0,0,1,0,4,0,0,4,1,1,2,0,2,0,4,0,0,2,335,3,420
烏坵鄉,大坵村,0,0,0,1,1,1,0,1,0,0,1,0,2,1,5,0,0,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,1,0,0,1,29,29,98
